text
Unidad I Paisaje geografico historico y ambiental del Ecuador
Unidad II Paisaje sociocultural politico ecuatoriano
Unidad III Poblacion Recursos y Sistema Economico del Ecuador
Unidad IV Sistema Productivo y distribucion de la riqueza Ecuatoriana
realidad socio economica cultural y ecologica del ecuador
