text
Unidad I Introduccion al analisis de datos
Proceso KDD;
fuentes de datos
adquisicion
limpieza
imputacion y manejo
EDA
Unidad II Analisis predictivo
regresion lineal
logistica y Naive Bayes
Unidad III Analisis descriptivo y asociacion
Reglas de asociacion
algoritmo a-priori
Agrupamiento
metricas tecnicas jerarquicas
Unidad IV Analisis de texto 
Redes sociales y mineria de datos espacial
mineria de datos
