text
Unidad I Vision general del sistema operativo
niveles de ejecucion y secuencia de arranque de los sistemas operativos
Unidad II Procesos e hilos
algoritmos de planificacion de procesos
Unidad III Gestion de memoria
requisitos objetivos y mapa de memoria
algoritmos de asignacion de memoria
Unidad IV Virtualizacion
ciclo de vida de una pagina
politica de administracion de la memoria virtual
politicas de localizacion
extraccion y de reemplazo
sistemas operativos
