text
Unidad 1 Fundamentos y modelacion
Unidad 2 Programacion lineal
Definiciones y Conceptos generales
metodo grafico y simplex
branch and bound
Unidad 3 Optimizacion en Redes
problema de flujo a costo minimo
simplex para redes
problema de la ruta mas corta (Dijkstra)
Unidad IV Optimizacion multiobjetivo
Conceptos generales
Metodos de los pesos y Pareto
metodos de optimizacion
